Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2007/01/03,QQQ,QQQQ,S,CBOE,251109
2007/01/04,QQQ,QQQQ,S,CBOE,152050
2007/01/05,QQQ,QQQQ,S,CBOE,146345
2007/01/08,QQQ,QQQQ,S,CBOE,84349
2007/01/09,QQQ,QQQQ,S,CBOE,93891
2007/01/10,QQQ,QQQQ,S,CBOE,304155
2007/01/11,QQQ,QQQQ,S,CBOE,252965
2007/01/12,QQQ,QQQQ,S,CBOE,122472
2007/01/16,QQQ,QQQQ,S,CBOE,112623
2007/01/17,QQQ,QQQQ,S,CBOE,107384
2007/01/18,QQQ,QQQQ,S,CBOE,318677
2007/01/19,QQQ,QQQQ,S,CBOE,176542
2007/01/22,QQQ,QQQQ,S,CBOE,176943
2007/01/23,QQQ,QQQQ,S,CBOE,74699
2007/01/24,QQQ,QQQQ,S,CBOE,81316
2007/01/25,QQQ,QQQQ,S,CBOE,118334
2007/01/26,QQQ,QQQQ,S,CBOE,94844
2007/01/29,QQQ,QQQQ,S,CBOE,121481
2007/01/30,QQQ,QQQQ,S,CBOE,86240
2007/01/31,QQQ,QQQQ,S,CBOE,97817
2007/02/01,QQQ,QQQQ,S,CBOE,69488
2007/02/02,QQQ,QQQQ,S,CBOE,91169
2007/02/05,QQQ,QQQQ,S,CBOE,33542
2007/02/06,QQQ,QQQQ,S,CBOE,39762
2007/02/07,QQQ,QQQQ,S,CBOE,46886
2007/02/08,QQQ,QQQQ,S,CBOE,110271
2007/02/09,QQQ,QQQQ,S,CBOE,202281
2007/02/12,QQQ,QQQQ,S,CBOE,120013
2007/02/13,QQQ,QQQQ,S,CBOE,132121
2007/02/14,QQQ,QQQQ,S,CBOE,206811
2007/02/15,QQQ,QQQQ,S,CBOE,114861
2007/02/16,QQQ,QQQQ,S,CBOE,80567
2007/02/20,QQQ,QQQQ,S,CBOE,104020
2007/02/21,QQQ,QQQQ,S,CBOE,76665
2007/02/22,QQQ,QQQQ,S,CBOE,183691
2007/02/23,QQQ,QQQQ,S,CBOE,47115
2007/02/26,QQQ,QQQQ,S,CBOE,106218
2007/02/27,QQQ,QQQQ,S,CBOE,1009011
2007/02/28,QQQ,QQQQ,S,CBOE,306501
2007/03/01,QQQ,QQQQ,S,CBOE,400115
2007/03/02,QQQ,QQQQ,S,CBOE,237219
2007/03/05,QQQ,QQQQ,S,CBOE,302218
2007/03/06,QQQ,QQQQ,S,CBOE,126182
2007/03/07,QQQ,QQQQ,S,CBOE,151414
2007/03/08,QQQ,QQQQ,S,CBOE,144098
2007/03/09,QQQ,QQQQ,S,CBOE,145708
2007/03/12,QQQ,QQQQ,S,CBOE,213684
2007/03/13,QQQ,QQQQ,S,CBOE,183474
2007/03/14,QQQ,QQQQ,S,CBOE,316432
2007/03/15,QQQ,QQQQ,S,CBOE,133579
2007/03/16,QQQ,QQQQ,S,CBOE,226773
2007/03/19,QQQ,QQQQ,S,CBOE,105523
2007/03/20,QQQ,QQQQ,S,CBOE,96216
2007/03/21,QQQ,QQQQ,S,CBOE,173086
2007/03/22,QQQ,QQQQ,S,CBOE,134084
2007/03/23,QQQ,QQQQ,S,CBOE,72047
2007/03/26,QQQ,QQQQ,S,CBOE,127879
2007/03/27,QQQ,QQQQ,S,CBOE,55530
2007/03/28,QQQ,QQQQ,S,CBOE,140148
2007/03/29,QQQ,QQQQ,S,CBOE,202615
2007/03/30,QQQ,QQQQ,S,CBOE,149381
2007/04/02,QQQ,QQQQ,S,CBOE,124788
2007/04/03,QQQ,QQQQ,S,CBOE,157777
2007/04/04,QQQ,QQQQ,S,CBOE,151282
2007/04/05,QQQ,QQQQ,S,CBOE,290162
2007/04/09,QQQ,QQQQ,S,CBOE,45604
2007/04/10,QQQ,QQQQ,S,CBOE,58088
2007/04/11,QQQ,QQQQ,S,CBOE,78842
2007/04/12,QQQ,QQQQ,S,CBOE,151226
2007/04/13,QQQ,QQQQ,S,CBOE,70874
2007/04/16,QQQ,QQQQ,S,CBOE,138678
2007/04/17,QQQ,QQQQ,S,CBOE,98233
2007/04/18,QQQ,QQQQ,S,CBOE,68056
2007/04/19,QQQ,QQQQ,S,CBOE,141321
2007/04/20,QQQ,QQQQ,S,CBOE,182768
2007/04/23,QQQ,QQQQ,S,CBOE,156729
2007/04/24,QQQ,QQQQ,S,CBOE,162464
2007/04/25,QQQ,QQQQ,S,CBOE,88966
2007/04/26,QQQ,QQQQ,S,CBOE,137343
2007/04/27,QQQ,QQQQ,S,CBOE,57374
2007/04/30,QQQ,QQQQ,S,CBOE,204904
2007/05/01,QQQ,QQQQ,S,CBOE,192829
2007/05/02,QQQ,QQQQ,S,CBOE,47383
2007/05/03,QQQ,QQQQ,S,CBOE,98867
2007/05/04,QQQ,QQQQ,S,CBOE,79065
2007/05/07,QQQ,QQQQ,S,CBOE,68535
2007/05/08,QQQ,QQQQ,S,CBOE,255347
2007/05/09,QQQ,QQQQ,S,CBOE,108221
2007/05/10,QQQ,QQQQ,S,CBOE,225401
2007/05/11,QQQ,QQQQ,S,CBOE,120355
2007/05/14,QQQ,QQQQ,S,CBOE,198054
2007/05/15,QQQ,QQQQ,S,CBOE,153456
