date,close,volume,return_pct,rsi_14,macd_hist
2014-10-20,382.85,16419000,-1.7202,45.86,5.5707
2014-10-21,386.48,14188900,0.9482,47.34,4.9788
2014-10-22,383.16,11641300,-0.8583,46.10,4.2094
2014-10-23,358.42,26456900,-6.4571,38.10,1.9924
2014-10-24,358.35,15585700,-0.0201,38.08,0.5539
2014-10-25,347.27,18127500,-3.0903,34.94,-1.0245
2014-10-26,354.70,11272500,2.1404,38.60,-1.4244
2014-10-27,352.99,13033000,-0.4835,38.07,-1.6454
2014-10-28,357.62,7845880,1.3114,40.46,-1.3339
2014-10-29,335.59,18192700,-6.1594,33.78,-2.4032
2014-10-30,345.30,30177900,2.8946,38.59,-2.2507
2014-10-31,338.32,12545400,-2.0226,36.54,-2.4009
2014-11-01,325.75,16677200,-3.7160,33.12,-3.0841
2014-11-02,325.89,8603620,0.0439,33.19,-3.2471
2014-11-03,327.55,12948500,0.5100,34.14,-2.9712
2014-11-04,330.49,15655500,0.8970,35.86,-2.3464
2014-11-05,339.49,19817200,2.7214,40.96,-1.1438
2014-11-06,349.29,18797000,2.8879,46.00,0.4121
2014-11-07,342.42,16834200,-1.9683,43.22,1.0425
2014-11-08,345.49,8535470,0.8974,44.83,1.6924
2014-11-09,363.26,24205600,5.1452,53.10,3.2548
2014-11-10,366.92,30450100,1.0075,54.61,4.3990
2014-11-11,367.70,15838900,0.2101,54.94,5.0267
2014-11-12,423.56,45783200,15.1936,71.22,8.8023
2014-11-13,420.73,58945000,-0.6672,69.85,10.5874
2014-11-14,397.82,29589200,-5.4469,59.77,9.7251
2014-11-15,376.13,15727500,-5.4510,52.11,7.3050
2014-11-16,387.88,11905600,3.1236,55.44,6.1525
2014-11-17,387.41,41518800,-0.1222,55.28,5.0607
2014-11-18,375.20,32222500,-3.1517,51.01,3.3039
2014-11-19,380.55,18931800,1.4278,52.73,2.3358
2014-11-20,357.84,25233200,-5.9689,45.44,0.1160
2014-11-21,350.85,29850100,-1.9539,43.44,-1.7689
2014-11-22,352.92,15273000,0.5906,44.22,-2.7624
2014-11-23,367.57,15151600,4.1519,49.53,-2.3362
2014-11-24,376.90,30930100,2.5377,52.62,-1.3768
2014-11-25,375.35,25442200,-0.4120,52.05,-0.8248
2014-11-26,368.37,18601700,-1.8591,49.45,-0.9015
2014-11-27,369.67,8748030,0.3529,49.95,-0.8378
2014-11-28,376.45,22946500,1.8333,52.59,-0.3380
2014-11-29,375.49,15375600,-0.2540,52.17,-0.0839
2014-11-30,378.05,9194440,0.6807,53.24,0.2273
2014-12-01,379.24,11763000,0.3169,53.76,0.4708
2014-12-02,381.32,12364100,0.5458,54.71,0.7136
2014-12-03,375.01,13340100,-1.6535,51.28,0.4072
2014-12-04,369.60,14529600,-1.4416,48.48,-0.1710
2014-12-05,376.85,15181800,1.9616,52.25,-0.0811
