Date,Log_Return_EMA3,Volume,OBV,ATR_14,RSI_14,Volume_Z_Score,Dist_52W_High,Dist_52W_Low,FINRA_Short_Ratio,Inst_Ownership,Share_Change_YoY,FCF_Change_QoQ,Revenue_Change_QoQ,Dilution_Risk_Flag,Label
2022-01-21,-0.031804,1335969.00,7840520.00,1.04,27.26,-0.4340,-0.5421,0.0518,0.0000,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-01-24,-0.026848,2119978.00,5720542.00,1.05,26.47,0.2552,-0.5521,0.1044,0.6495,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-01-25,-0.033961,894684.00,4825858.00,1.00,25.05,-0.8451,-0.5701,0.0600,0.5609,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-01-26,-0.008664,1203703.00,6029561.00,0.98,26.74,-0.5350,-0.5629,0.0778,0.4494,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-01-27,-0.061615,1403746.00,4625815.00,0.98,23.06,-0.3145,-0.6102,0.0058,0.4841,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-01-28,-0.007101,1151479.00,5777294.00,0.96,27.37,-0.5311,-0.5913,0.0596,0.0000,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-01-31,0.043754,637578.00,6414872.00,0.97,35.68,-0.9982,-0.5507,0.1647,0.7145,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-01,0.037673,663583.00,7078455.00,0.97,38.38,-0.9368,-0.5363,0.2021,0.6051,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-02,-0.006069,640706.00,6437749.00,0.96,35.85,-0.9230,-0.5588,0.1437,0.4385,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-03,-0.047330,868195.00,5569554.00,0.96,32.07,-0.6737,-0.5962,0.0467,0.6407,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-04,0.022669,1440479.00,7010033.00,0.97,39.30,-0.0914,-0.5570,0.1484,0.0000,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-07,0.023396,1115819.00,8125852.00,0.95,41.16,-0.4123,-0.5462,0.1764,0.6696,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-08,0.049000,1307323.00,9433175.00,0.91,46.86,-0.2262,-0.5110,0.2675,0.7202,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-09,0.058351,1448195.00,10881370.00,0.88,51.76,-0.0779,-0.4768,0.3563,0.5824,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-10,0.016969,1508797.00,9372573.00,0.91,49.93,0.0466,-0.4894,0.3236,0.5325,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-11,-0.014544,1247836.00,8124737.00,0.92,46.70,-0.2292,-0.5124,0.2640,0.0000,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
2022-02-14,-0.003589,924183.00,9048920.00,0.93,47.28,-0.5708,-0.5088,0.2733,0.7412,0.0000,3.6875,0.0000,0.0000,1.0000,BEAR_MARKET
