Date,Log_Return_EMA3,Volume,OBV,ATR_14,RSI_14,Volume_Z_Score,Dist_52W_High,Dist_52W_Low,Label
2021-09-29,-0.040196,46164524.00,61003501.00,1.37,41.64,-0.0326,-0.4551,1.7551,BEAR_MARKET
2021-09-30,-0.029983,59505593.00,1497908.00,1.41,39.77,0.3256,-0.4658,1.7011,BEAR_MARKET
2021-10-01,-0.008996,32777971.00,34275879.00,1.37,41.48,-0.4482,-0.4593,1.7337,BEAR_MARKET
2021-10-04,-0.028924,46789720.00,-12513841.00,1.40,36.96,-0.0634,-0.4851,1.6034,BEAR_MARKET
2021-10-05,-0.013600,56574824.00,44060983.00,1.38,37.22,0.1980,-0.4842,1.6079,BEAR_MARKET
2021-10-06,0.001108,125175676.00,169236659.00,1.38,39.64,2.0582,-0.4760,1.5686,BEAR_MARKET
2021-10-07,0.003725,38873699.00,208110358.00,1.34,40.64,-0.3729,-0.4727,1.5850,BEAR_MARKET
2021-10-08,-0.003008,39713420.00,168396938.00,1.22,39.55,-0.3637,-0.4778,1.5599,BEAR_MARKET
2021-10-11,-0.000866,23971679.00,192368617.00,1.19,39.78,-0.8189,-0.4771,1.5632,BEAR_MARKET
2021-10-12,0.002955,26280035.00,218648652.00,1.15,41.04,-0.7576,-0.4736,1.5806,BEAR_MARKET
2021-10-13,0.010679,28494029.00,247142681.00,1.06,44.48,-0.7048,-0.4638,1.6285,BEAR_MARKET
2021-10-14,0.009878,26106710.00,273249391.00,1.04,46.17,-0.7840,-0.4589,1.6525,BEAR_MARKET
2021-10-15,-0.002300,24366136.00,248883255.00,1.00,43.88,-0.8403,-0.4667,1.6087,BEAR_MARKET
2021-10-18,0.004237,25609889.00,274493144.00,0.87,46.03,-0.8055,-0.4609,1.6370,BEAR_MARKET
2021-10-19,0.010903,29393871.00,303887015.00,0.85,49.46,-0.6906,-0.4513,1.6837,BEAR_MARKET
2021-10-20,-0.004158,24248046.00,279638969.00,0.82,46.01,-0.8380,-0.4618,1.6326,BEAR_MARKET
2021-10-21,0.009350,23976568.00,303615537.00,0.83,50.45,-0.8361,-0.4493,1.6876,BEAR_MARKET
2021-10-22,-0.002437,20166825.00,283448712.00,0.78,47.81,-1.0148,-0.4571,1.5797,BEAR_MARKET
2021-10-25,0.018447,33962065.00,317410777.00,0.80,54.92,-0.5253,-0.4353,1.6469,BEAR_RALLY
2021-10-26,0.011383,56767030.00,374177807.00,0.78,55.66,0.2513,-0.4329,1.5909,BEAR_RALLY
2021-10-27,-0.003403,24157199.00,350020608.00,0.80,51.87,-0.8570,-0.4431,1.5442,BASE
2021-10-28,0.009739,21203027.00,371223635.00,0.79,55.94,-0.9220,-0.4302,1.6030,BASE
2021-10-29,0.009528,21910308.00,393133943.00,0.78,57.54,-0.8634,-0.4249,1.6274,BASE
2021-11-01,0.017732,26185162.00,419319105.00,0.80,61.78,-0.6946,-0.4098,1.5963,BASE
2021-11-02,-0.003330,30563415.00,388755690.00,0.84,56.10,-0.5396,-0.4240,1.4828,BASE
2021-11-03,0.002178,25244192.00,413999882.00,0.87,57.42,-0.7110,-0.4196,1.4758,BASE
2021-11-04,0.007745,25029657.00,439029539.00,0.87,59.70,-0.6953,-0.4118,1.4396,BASE
2021-11-05,-0.005085,26004970.00,413024569.00,0.91,55.41,-0.6456,-0.4222,1.1577,BASE
