Date,Close,Volume,OBV,ATR_14,RSI_14,MACD_Hist,Dist_SMA200,SMA200_Slope,Days_Below_SMA200,Volume_Z_Score,Dist_52W_High,Dist_52W_Low,Label
2015-12-31,111.86,29886849.00,-225845386.00,1.61,47.16,0.00,0.0250,0.002522,0,-0.1493,-0.0336,0.3200,BULL_CORRECTION
2016-01-04,109.50,50807643.00,-276653029.00,1.69,40.18,-0.20,0.0033,0.002418,0,1.6218,-0.0540,0.2922,BULL_CORRECTION
2016-01-05,109.31,38795182.00,-315448211.00,1.62,39.67,-0.32,0.0015,0.002342,0,0.5968,-0.0556,0.2899,BULL_CORRECTION
2016-01-06,108.26,41891091.00,-357339302.00,1.64,36.89,-0.45,-0.0081,0.002186,1,0.9090,-0.0647,0.2776,BULL_CORRECTION
2016-01-07,104.87,61386300.00,-418725602.00,1.72,29.67,-0.72,-0.0390,0.001767,2,2.4276,-0.0940,0.2376,BULL_CORRECTION
2016-01-08,104.01,69344012.00,-488069614.00,1.74,28.16,-0.90,-0.0469,0.001356,3,2.7810,-0.1014,0.2274,BULL_CORRECTION
2016-01-11,104.33,50024094.00,-438045520.00,1.73,29.59,-0.94,-0.0439,0.001009,4,1.2696,-0.0987,0.2312,BULL_CORRECTION
2016-01-12,105.54,46734241.00,-391311279.00,1.78,34.88,-0.83,-0.0328,0.000680,5,0.9810,-0.0882,0.2455,BULL_CORRECTION
2016-01-13,101.90,69870673.00,-461181952.00,2.04,28.05,-0.94,-0.0659,0.000110,6,2.4947,-0.1197,0.2025,BULL_CORRECTION
2016-01-14,104.07,78445735.00,-382736217.00,2.28,36.09,-0.81,-0.0460,-0.000254,7,2.7927,-0.1009,0.2281,BULL_CORRECTION
2016-01-15,100.84,91443918.00,-474180135.00,2.58,30.61,-0.88,-0.0754,-0.000627,8,3.1917,-0.1288,0.1900,BULL_CORRECTION
2016-01-19,101.06,56563845.00,-417616290.00,2.68,31.37,-0.84,-0.0732,-0.000878,9,1.0979,-0.1269,0.1926,BULL_CORRECTION
2016-01-20,100.75,86674981.00,-504291271.00,2.86,30.86,-0.78,-0.0759,-0.001154,10,2.5950,-0.1296,0.1889,BULL_CORRECTION
2016-01-21,100.85,61660101.00,-442631170.00,2.97,31.25,-0.67,-0.0747,-0.001378,11,1.1864,-0.1287,0.1901,BULL_CORRECTION
2016-01-22,103.77,42229803.00,-400401367.00,3.08,41.66,-0.36,-0.0478,-0.001369,12,0.1337,-0.1035,0.2246,BULL_CORRECTION
2016-01-25,102.23,38881485.00,-439282852.00,2.94,38.36,-0.22,-0.0617,-0.001535,13,-0.0499,-0.1168,0.2064,BULL_CORRECTION
2016-01-26,103.15,36143916.00,-403138936.00,2.98,41.35,-0.04,-0.0531,-0.001711,14,-0.2133,-0.1089,0.2173,BULL_CORRECTION
2016-01-27,100.58,54524736.00,-457663672.00,3.05,36.09,-0.07,-0.0764,-0.002028,15,0.7553,-0.1311,0.1869,BULL_CORRECTION
2016-01-28,102.00,47641532.00,-410022140.00,2.95,40.59,0.03,-0.0631,-0.002044,16,0.3902,-0.1188,0.2037,BULL_CORRECTION
2016-01-29,104.13,54245067.00,-355777073.00,2.94,46.66,0.25,-0.0434,-0.002144,17,0.7231,-0.1004,0.2288,BULL_CORRECTION
2016-02-01,104.41,32750348.00,-323026725.00,2.89,47.42,0.42,-0.0407,-0.002102,18,-0.4399,-0.0980,0.2321,BULL_CORRECTION
2016-02-02,102.15,44928088.00,-367954813.00,2.93,42.19,0.37,-0.0613,-0.002093,19,0.2055,-0.1175,0.2055,BULL_CORRECTION
2016-02-03,101.66,61572882.00,-429527695.00,2.82,41.13,0.32,-0.0655,-0.002126,20,1.0626,-0.1217,0.1997,BULL_CORRECTION
2016-02-04,101.65,49321638.00,-478849333.00,2.65,41.11,0.29,-0.0653,-0.002194,21,0.3779,-0.1218,0.1996,BULL_CORRECTION
2016-02-05,98.12,70749932.00,-549599265.00,2.61,33.99,0.04,-0.0974,-0.002545,22,1.4758,-0.1523,0.1579,BEAR_MARKET
2016-02-08,96.62,91673063.00,-641272328.00,2.67,31.49,-0.19,-0.1106,-0.002884,23,2.4003,-0.1653,0.1402,BEAR_MARKET
2016-02-09,96.32,73778426.00,-715050754.00,2.52,31.00,-0.32,-0.1128,-0.003326,24,1.4313,-0.1679,0.1367,BEAR_MARKET
2016-02-10,96.69,59421699.00,-655629055.00,2.51,32.40,-0.34,-0.1089,-0.003633,25,0.6652,-0.1647,0.1410,BEAR_MARKET
2016-02-11,96.55,76839183.00,-732468238.00,2.45,32.13,-0.33,-0.1096,-0.004016,26,1.5185,-0.1659,0.1394,BEAR_MARKET
2016-02-12,98.02,49186494.00,-683281744.00,2.43,37.89,-0.19,-0.0956,-0.004367,27,0.0456,-0.1532,0.1567,BEAR_MARKET
2016-02-16,100.23,40565911.00,-642715833.00,2.46,45.38,0.08,-0.0749,-0.004557,28,-0.4388,-0.1341,0.1828,BEAR_MARKET
2016-02-17,102.50,41766451.00,-600949382.00,2.42,51.81,0.40,-0.0536,-0.004681,29,-0.3728,-0.1145,0.2096,BEAR_MARKET
2016-02-18,101.33,38991469.00,-639940851.00,2.39,48.64,0.53,-0.0641,-0.004773,30,-0.5212,-0.1246,0.1958,BEAR_MARKET
2016-02-19,101.63,28257915.00,-611682936.00,2.33,49.49,0.63,-0.0611,-0.004747,31,-1.1062,-0.1220,0.1993,BEAR_MARKET
2016-02-22,103.28,23979113.00,-587703823.00,2.34,54.03,0.78,-0.0457,-0.004423,32,-1.3193,-0.1077,0.2188,BEAR_MARKET
2016-02-23,101.58,29869660.00,-617573483.00,2.28,49.13,0.74,-0.0611,-0.004118,33,-0.9736,-0.1224,0.1987,BEAR_MARKET
