Date,Close,Volume,OBV,ATR_14,RSI_14,MACD_Hist,FINRA_Short_Ratio,Inst_Ownership,Share_Change_YoY,FCF_Change_QoQ,Revenue_Change_QoQ,Label
2021-08-17,47.02,1319011.00,2876950.00,2.97,48.10,-0.64,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-18,48.70,608757.00,3485707.00,3.02,51.66,-0.59,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-19,50.36,925397.00,4411104.00,2.80,54.95,-0.43,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-20,51.29,707137.00,5118241.00,2.70,56.73,-0.25,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-23,53.13,2008833.00,7127074.00,2.89,60.09,-0.02,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-24,56.70,2206050.00,9333124.00,3.15,65.65,0.34,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-25,59.39,1341002.00,10674126.00,3.24,69.14,0.71,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-26,61.01,2035007.00,12709133.00,3.38,71.05,1.00,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-27,64.90,1705914.00,14415047.00,3.57,75.04,1.36,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-30,65.19,1432935.00,15847982.00,3.59,75.31,1.52,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-08-31,63.93,1420288.00,14427694.00,3.52,71.64,1.44,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-09-01,67.26,1806220.00,16233914.00,3.64,75.10,1.50,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-09-02,64.78,1421802.00,14812112.00,3.81,68.42,1.28,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-09-03,69.04,1373951.00,16186063.00,3.95,72.88,1.31,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-09-07,71.01,2962510.00,19148573.00,4.04,74.66,1.36,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-09-08,68.24,4258472.00,14890101.00,4.24,67.90,1.10,0.0000,0.0000,1.0000,0.0000,0.0000,UNKNOWN
2021-09-09,66.04,5642518.00,9247583.00,4.75,63.02,0.70,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
2021-09-10,63.75,3897825.00,5349758.00,5.02,58.32,0.23,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
2021-09-13,61.00,3800117.00,1549641.00,5.10,53.19,-0.29,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
2021-09-14,62.10,1969981.00,3519622.00,4.81,54.90,-0.58,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
2021-09-15,67.51,2537630.00,6057252.00,4.95,62.21,-0.42,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
2021-09-16,72.75,3405604.00,9462856.00,5.05,67.67,0.00,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
2021-09-17,69.25,7320164.00,2142692.00,5.11,61.30,0.00,0.0000,0.0000,1.0000,0.0000,0.0000,BULL_MARKET
