Date,Log_Return_EMA3,Volume,OBV,ATR_14,RSI_14,Volume_Z_Score,Dist_52W_High,Dist_52W_Low,FINRA_Short_Ratio,Inst_Ownership,Share_Change_YoY,FCF_Change_QoQ,Revenue_Change_QoQ,Label
2021-11-29,0.001606,23366894.00,23020898.00,1.57,40.54,-0.4015,-0.3478,0.8248,0.4299,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-11-30,-0.033732,67190100.00,-44169202.00,1.55,35.48,2.5448,-0.3914,0.6586,0.3720,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-01,-0.040985,34620746.00,-78789948.00,1.51,32.59,0.3212,-0.4200,0.5805,0.3696,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-02,-0.019274,27033830.00,-51756118.00,1.26,32.88,-0.1601,-0.4186,0.5844,0.4030,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-03,-0.048873,64350690.00,-116106808.00,1.28,28.75,2.2735,-0.4625,0.4648,0.0000,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-06,-0.007288,34134776.00,-81972032.00,1.28,32.65,0.2581,-0.4437,0.5057,0.4109,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-07,0.024192,30846576.00,-51125456.00,1.25,38.77,0.0462,-0.4119,0.5533,0.4517,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-08,0.021632,25262614.00,-25862842.00,1.24,40.83,-0.3242,-0.4006,0.5758,0.3709,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-09,-0.028468,32398875.00,-58261717.00,1.26,35.66,0.1580,-0.4459,0.4567,0.4209,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-10,-0.035431,41344197.00,-99605914.00,1.25,33.35,0.7483,-0.4689,0.3898,0.0000,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-13,-0.032248,40507489.00,-140113403.00,1.17,31.88,0.6647,-0.4841,0.3488,0.3989,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-14,-0.019565,26707766.00,-166821169.00,1.11,31.53,-0.2602,-0.4876,0.3395,0.4311,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-15,0.013163,33540357.00,-133280812.00,1.11,36.60,0.1714,-0.4636,0.4024,0.4477,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-16,-0.023669,43017956.00,-176298768.00,1.17,33.14,0.7779,-0.4950,0.3035,0.4395,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-17,0.001306,44408693.00,-131890075.00,1.19,35.93,0.8378,-0.4816,0.3325,0.0000,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-20,-0.001399,31658626.00,-163548701.00,1.15,35.68,-0.0674,-0.4837,0.3109,0.4031,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-21,0.012156,27695629.00,-135853072.00,1.07,38.62,-0.3084,-0.4703,0.3132,0.3929,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-22,0.006746,24332110.00,-111520962.00,1.07,38.78,-0.5338,-0.4696,0.2768,0.3853,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-23,0.006697,19824000.00,-91696962.00,0.98,39.62,-0.8541,-0.4660,0.2788,0.0000,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-27,0.013192,19826708.00,-71870254.00,0.93,42.19,-0.8271,-0.4554,0.3042,0.3872,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-28,-0.011263,24049692.00,-95919946.00,0.91,38.98,-0.5127,-0.4745,0.2585,0.3655,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-29,-0.018593,20899600.00,-116819546.00,0.90,36.85,-0.7180,-0.4880,0.2263,0.3205,0.0000,1.0000,0.0000,0.0000,BEAR_MARKET
2021-12-30,0.039394,41348737.00,-75470809.00,0.93,48.61,0.8172,-0.4356,0.3517,0.3715,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2021-12-31,0.015289,30609660.00,-106080469.00,0.91,47.70,-0.0063,-0.4406,0.3398,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-03,0.003516,27561493.00,-133641962.00,0.87,46.83,-0.2428,-0.4452,0.3188,0.4115,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-04,-0.018746,34175862.00,-167817824.00,0.92,42.75,0.2399,-0.4674,0.2658,0.4107,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-05,-0.041975,35103099.00,-202920923.00,0.92,37.46,0.2845,-0.5011,0.1701,0.3858,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-06,-0.032466,46269403.00,-249190326.00,0.92,35.85,1.1116,-0.5124,0.0592,0.3960,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-07,-0.017686,28716248.00,-277906574.00,0.90,35.64,-0.2611,-0.5138,0.0561,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-10,-0.022492,37040302.00,-314946876.00,0.90,33.71,0.3596,-0.5269,0.0429,0.3605,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-11,0.009628,24365399.00,-290581477.00,0.92,39.18,-0.6821,-0.5067,0.0874,0.4413,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-12,0.001937,24842446.00,-315423923.00,0.92,38.70,-0.6124,-0.5096,0.0811,0.4253,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-13,-0.027611,29900817.00,-345324740.00,0.96,34.31,-0.1830,-0.5368,0.0211,0.4081,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-14,-0.009621,32460687.00,-312864053.00,0.96,35.44,0.0199,-0.5329,0.0427,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-18,-0.049972,47899681.00,-360763734.00,0.98,29.75,1.2539,-0.5732,0.0033,0.5338,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-19,0.039130,181364987.00,-179398747.00,1.10,43.81,6.0748,-0.5149,0.1406,0.6179,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-20,0.064527,268936017.00,89537270.00,1.17,51.91,5.6535,-0.4692,0.2479,0.6038,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-21,-0.006177,135687439.00,-46150169.00,1.21,45.79,2.1817,-0.5085,0.1556,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-24,-0.024791,137506039.00,-183656208.00,1.31,42.90,2.0828,-0.5294,0.1243,0.3889,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-25,-0.033120,72818267.00,-256474475.00,1.28,40.38,0.6240,-0.5485,0.0786,0.4238,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-26,-0.023663,83653955.00,-340128430.00,1.30,39.55,0.8387,-0.5548,0.0634,0.4048,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-27,-0.062837,83981842.00,-424110272.00,1.31,34.38,0.8175,-0.5980,0.0080,0.4058,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-28,-0.042995,78767734.00,-502878006.00,1.32,33.37,0.6815,-0.6072,0.0561,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-01-31,0.037094,73077056.00,-429800950.00,1.36,42.89,0.5319,-0.5233,0.1874,0.4679,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-01,0.049236,89022381.00,-340778569.00,1.38,47.51,0.8540,-0.4847,0.2626,0.4494,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-02,-0.019059,73581222.00,-414359791.00,1.43,42.33,0.4914,-0.5159,0.1570,0.3957,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-03,-0.034398,55485611.00,-469845402.00,1.42,39.84,0.0840,-0.5363,0.1009,0.3977,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-04,-0.003558,46870849.00,-422974553.00,1.44,41.84,-0.1139,-0.5234,0.1313,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-07,-0.008979,37906180.00,-460880733.00,1.40,41.06,-0.3174,-0.5303,0.1151,0.3991,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-08,0.012703,32936108.00,-427944625.00,1.28,43.78,-0.4391,-0.5138,0.1541,0.4085,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-09,0.035571,47536708.00,-380407917.00,1.15,48.35,-0.1240,-0.4846,0.2236,0.3776,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-10,-0.000830,57391379.00,-437799296.00,1.13,45.77,0.1017,-0.5034,0.1789,0.3944,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-11,-0.000012,76947111.00,-360852185.00,1.05,45.84,0.5215,-0.5030,0.1798,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-14,-0.016401,73358573.00,-434210758.00,1.06,43.54,0.4210,-0.5190,0.1418,0.3792,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-15,0.015400,51170338.00,-383040420.00,1.00,47.63,-0.0721,-0.4958,0.1970,0.3958,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-16,0.027188,58488156.00,-324552264.00,0.94,50.93,0.0817,-0.4758,0.2445,0.3671,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-17,-0.022050,44690019.00,-369242283.00,0.96,45.39,-0.2361,-0.5118,0.1589,0.4162,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-18,-0.044555,59994499.00,-429236782.00,0.93,41.16,0.0945,-0.5435,0.0837,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-22,-0.074519,74963588.00,-504200370.00,0.93,35.99,0.4154,-0.5888,0.0069,0.4606,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-23,-0.059175,62010003.00,-566210373.00,0.89,34.18,0.1118,-0.6064,0.0000,0.3917,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-24,-0.004272,76026491.00,-490183882.00,0.95,38.05,0.4144,-0.5860,0.1712,0.4115,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-25,0.014056,46588118.00,-443595764.00,0.93,40.56,-0.2654,-0.5723,0.2098,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-02-28,0.042305,64380524.00,-379215240.00,0.96,45.97,0.1274,-0.5411,0.2982,0.4129,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-01,0.010114,107850262.00,-487065502.00,0.97,44.57,1.0822,-0.5511,0.2698,0.4855,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-02,0.021740,147527024.00,-339538478.00,1.04,47.20,1.8673,-0.5359,0.3129,0.4093,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-03,-0.029115,70875684.00,-410414162.00,1.03,42.15,0.1738,-0.5715,0.2120,0.4194,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-04,-0.047919,63475677.00,-473889839.00,1.04,38.70,-0.0046,-0.5992,0.1338,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-07,-0.043330,54287701.00,-528177540.00,1.01,36.91,-0.2226,-0.6144,0.0907,0.3858,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-08,-0.016494,50878192.00,-477299348.00,1.02,37.72,-0.3152,-0.6104,0.1020,0.4402,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-09,-0.000590,53891065.00,-423408283.00,1.00,39.00,-0.2654,-0.6044,0.1190,0.4595,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-10,-0.024158,47638370.00,-471046653.00,0.98,36.53,-0.4211,-0.6228,0.0669,0.4397,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-11,-0.060000,71568476.00,-542615129.00,0.98,32.39,0.1040,-0.6573,0.0035,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-14,-0.067639,75632727.00,-618247856.00,0.95,29.77,0.1827,-0.6822,0.0252,0.4058,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-15,-0.017079,52317434.00,-565930422.00,0.92,32.34,-0.3703,-0.6713,0.0601,0.3944,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-16,0.013527,84406687.00,-481523735.00,0.86,35.80,0.3547,-0.6565,0.1080,0.4106,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-17,0.026217,67654054.00,-413869681.00,0.86,38.89,-0.0554,-0.6429,0.1519,0.3087,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-18,0.064271,66247380.00,-347622301.00,0.86,46.70,-0.1042,-0.6044,0.2760,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-21,0.016702,39587992.00,-387210293.00,0.85,44.77,-0.7353,-0.6164,0.2372,0.4702,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-22,0.016127,56170288.00,-331040005.00,0.78,45.97,-0.3569,-0.6104,0.2566,0.3854,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-23,-0.010273,38946307.00,-369986312.00,0.74,43.59,-0.7720,-0.6244,0.2114,0.5010,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-24,0.000172,30175795.00,-339810517.00,0.70,44.48,-0.9884,-0.6204,0.2243,0.5614,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-25,-0.024811,42258676.00,-382069193.00,0.69,41.27,-0.7111,-0.6389,0.1648,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-28,0.000739,33300875.00,-348768318.00,0.67,43.56,-0.9318,-0.6293,0.1959,0.3368,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-29,0.046302,72805135.00,-275963183.00,0.71,51.15,0.0097,-0.5936,0.3109,0.4872,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-30,0.004565,59785673.00,-335748856.00,0.72,48.24,-0.3167,-0.6084,0.2631,0.6209,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-03-31,-0.014368,33702782.00,-369451638.00,0.68,45.82,-0.9502,-0.6212,0.2217,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-04-01,-0.013574,29654474.00,-399106112.00,0.65,44.91,-1.3827,-0.6261,0.2062,0.0000,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-04-04,0.016254,34448041.00,-364658071.00,0.67,48.92,-1.1970,-0.6084,0.2631,0.5951,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
2022-04-05,-0.026296,46790179.00,-411448250.00,0.69,43.84,-0.6696,-0.6345,0.1791,0.4712,0.0000,1.0210,0.0000,0.0000,BEAR_MARKET
