Date,Close,Volume,OBV,ATR_14,RSI_14,MACD_Hist,Dist_SMA200,SMA200_Slope,Days_Below_SMA200,Volume_Z_Score,Dist_52W_High,Dist_52W_Low,Label
2015-12-31,203.87,114877859.00,-2188409095.00,2.76,46.46,0.09,-0.0113,-0.000765,2,-0.0142,-0.0464,0.1177,BULL_CORRECTION
2016-01-04,201.02,222353500.00,-2410762595.00,2.82,41.48,-0.16,-0.0249,-0.000835,3,2.2400,-0.0597,0.1021,BULL_CORRECTION
2016-01-05,201.36,110845800.00,-2299916795.00,2.73,42.27,-0.29,-0.0230,-0.000873,4,-0.1259,-0.0581,0.1039,BULL_CORRECTION
2016-01-06,198.82,152112600.00,-2452029395.00,2.77,38.10,-0.51,-0.0351,-0.000982,5,0.7677,-0.0700,0.0900,BULL_CORRECTION
2016-01-07,194.05,213436100.00,-2665465495.00,2.89,31.77,-0.92,-0.0579,-0.001304,6,1.9763,-0.0923,0.0639,BULL_CORRECTION
2016-01-08,191.92,209817200.00,-2875282695.00,2.93,29.42,-1.25,-0.0679,-0.001677,7,1.7969,-0.1023,0.0522,BULL_CORRECTION
2016-01-11,192.11,187941300.00,-2687341395.00,2.83,29.92,-1.37,-0.0667,-0.001961,8,1.3041,-0.1014,0.0532,BULL_CORRECTION
2016-01-12,193.66,172330500.00,-2515010895.00,2.94,34.01,-1.26,-0.0589,-0.002239,9,0.9513,-0.0941,0.0617,BULL_CORRECTION
2016-01-13,188.83,221168900.00,-2736179795.00,3.24,28.44,-1.42,-0.0820,-0.002681,10,1.8307,-0.1167,0.0353,BULL_CORRECTION
2016-01-14,191.93,240795600.00,-2495384195.00,3.46,35.72,-1.22,-0.0666,-0.002984,11,2.0685,-0.1022,0.0522,BULL_CORRECTION
2016-01-15,187.81,314240200.00,-2809624395.00,3.85,31.18,-1.28,-0.0862,-0.003258,12,3.0370,-0.1215,0.0297,BEAR_MARKET
2016-01-19,188.06,195244400.00,-2614379995.00,4.00,31.75,-1.20,-0.0846,-0.003499,13,0.9898,-0.1203,0.0310,BEAR_MARKET
2016-01-20,185.65,286547800.00,-2900927795.00,4.32,29.24,-1.21,-0.0958,-0.003818,14,2.3339,-0.1316,0.0256,BEAR_MARKET
2016-01-21,186.69,195772900.00,-2705154895.00,4.51,31.74,-1.06,-0.0903,-0.004048,15,0.8526,-0.1267,0.0313,BEAR_MARKET
2016-01-22,190.52,168319600.00,-2536835295.00,4.65,40.13,-0.63,-0.0712,-0.004114,16,0.4041,-0.1088,0.0525,BEAR_MARKET
2016-01-25,187.64,130371700.00,-2667206995.00,4.50,36.50,-0.47,-0.0848,-0.004296,17,-0.2177,-0.1223,0.0366,BEAR_MARKET
2016-01-26,190.20,141036800.00,-2526170195.00,4.57,41.56,-0.15,-0.0719,-0.004460,18,-0.0712,-0.1103,0.0507,BEAR_MARKET
2016-01-27,188.13,185681700.00,-2711851895.00,4.62,38.86,-0.03,-0.0815,-0.004677,19,0.6336,-0.1200,0.0393,BEAR_MARKET
2016-01-28,189.11,143798800.00,-2568053095.00,4.47,40.82,0.14,-0.0763,-0.004702,20,-0.0439,-0.1154,0.0447,BEAR_MARKET
2016-01-29,193.72,210529300.00,-2357523795.00,4.50,49.08,0.57,-0.0534,-0.004758,21,1.0024,-0.0938,0.0702,BEAR_MARKET
2016-02-01,193.65,136061600.00,-2493585395.00,4.44,48.97,0.85,-0.0533,-0.004731,22,-0.2033,-0.0942,0.0698,BEAR_MARKET
2016-02-02,190.16,182564900.00,-2676150295.00,4.49,43.64,0.78,-0.0700,-0.004719,23,0.5273,-0.1105,0.0505,BEAR_MARKET
2016-02-03,191.30,205054900.00,-2471095395.00,4.36,45.72,0.81,-0.0640,-0.004633,24,0.8548,-0.1052,0.0568,BEAR_MARKET
2016-02-04,191.60,139531800.00,-2331563595.00,4.16,46.28,0.83,-0.0621,-0.004572,25,-0.2218,-0.1038,0.0584,BEAR_MARKET
2016-02-05,187.95,180788300.00,-2512351895.00,4.02,40.75,0.60,-0.0794,-0.004702,26,0.4218,-0.1208,0.0383,BEAR_MARKET
2016-02-08,185.42,191526700.00,-2703878595.00,4.11,37.41,0.29,-0.0913,-0.004813,27,0.5730,-0.1327,0.0243,BEAR_MARKET
2016-02-09,185.43,184513100.00,-2519365495.00,3.88,37.43,0.10,-0.0906,-0.004971,28,0.4241,-0.1326,0.0244,BEAR_MARKET
2016-02-10,185.27,148214100.00,-2667579595.00,3.81,37.21,-0.00,-0.0908,-0.005085,29,-0.2525,-0.1334,0.0235,BEAR_MARKET
2016-02-11,182.86,219058900.00,-2886638495.00,3.81,33.93,-0.20,-0.1020,-0.005287,30,0.9895,-0.1446,0.0102,BEAR_MARKET
2016-02-12,186.63,127632400.00,-2759006095.00,3.86,42.48,-0.04,-0.0830,-0.005466,31,-0.6800,-0.1270,0.0310,BEAR_MARKET
2016-02-16,189.78,120250700.00,-2638755395.00,3.88,48.48,0.29,-0.0671,-0.005516,32,-0.8223,-0.1123,0.0484,BEAR_MARKET
2016-02-17,192.88,136009500.00,-2502745895.00,3.81,53.61,0.70,-0.0514,-0.005520,33,-0.5210,-0.0978,0.0655,BEAR_MARKET
2016-02-18,192.09,102343000.00,-2605088895.00,3.71,52.18,0.90,-0.0549,-0.005539,34,-1.0926,-0.1015,0.0612,BEAR_MARKET
2016-02-19,192.00,114793000.00,-2719881895.00,3.49,52.01,0.99,-0.0549,-0.005515,35,-0.8759,-0.1019,0.0607,BEAR_MARKET
2016-02-22,194.78,103640300.00,-2616241595.00,3.51,56.70,1.20,-0.0409,-0.005287,36,-1.0789,-0.0889,0.0760,BEAR_MARKET
2016-02-23,192.32,111455300.00,-2727696895.00,3.40,51.87,1.12,-0.0526,-0.005065,37,-0.9104,-0.1004,0.0624,BEAR_MARKET
2016-02-24,193.20,150812200.00,-2576884695.00,3.36,53.40,1.09,-0.0479,-0.004877,38,-0.2147,-0.0963,0.0673,BEAR_MARKET
2016-02-25,195.54,110728300.00,-2466156395.00,3.36,57.28,1.17,-0.0360,-0.004624,39,-0.9053,-0.0853,0.0802,BEAR_RALLY
2016-02-26,195.09,129833700.00,-2595990095.00,3.17,56.31,1.14,-0.0379,-0.004291,40,-0.5389,-0.0874,0.0777,BEAR_RALLY
2016-02-29,193.56,125918100.00,-2721908195.00,3.01,53.02,0.97,-0.0450,-0.004110,41,-0.5975,-0.0946,0.0693,BEAR_MARKET
2016-03-01,198.11,141799700.00,-2580108495.00,3.07,60.43,1.11,-0.0222,-0.003999,42,-0.2921,-0.0733,0.0944,BEAR_RALLY
