Date,Log_Return_EMA3,Volume,OBV,ATR_14,RSI_14,Volume_Z_Score,Dist_52W_High,Dist_52W_Low,Label
2022-06-08,0.003041,872790.00,-6054286.00,0.60,47.56,-0.3218,-0.3767,0.5920,BEAR_MARKET
2022-06-09,-0.102070,3129838.00,-9184124.00,0.68,36.13,3.0051,-0.4933,0.2941,BEAR_MARKET
2022-06-10,-0.082816,3623229.00,-12807353.00,0.69,33.80,3.2463,-0.5245,0.2144,BEAR_MARKET
2022-06-13,-0.104615,2700296.00,-15507649.00,0.72,30.01,1.9065,-0.5810,0.0702,BEAR_MARKET
2022-06-14,-0.047894,2166254.00,-13341395.00,0.69,30.56,1.1902,-0.5773,0.0797,BEAR_MARKET
2022-06-15,-0.023069,2445543.00,-10895852.00,0.70,30.68,1.4702,-0.5765,0.0816,BEAR_MARKET
2022-06-16,-0.057438,1291929.00,-12187781.00,0.70,28.12,0.0274,-0.6137,0.0156,BEAR_MARKET
2022-06-17,-0.022983,1810994.00,-10376787.00,0.69,28.89,0.6682,-0.6092,0.0273,BEAR_MARKET
2022-06-21,-0.034842,1507977.00,-11884764.00,0.69,27.61,0.2987,-0.6270,0.0020,BEAR_MARKET
2022-06-22,-0.035679,1277237.00,-13162001.00,0.68,26.67,-0.0001,-0.6404,0.0083,BEAR_MARKET
2022-06-23,0.003397,3942032.00,-9219969.00,0.61,29.70,2.9571,-0.6248,0.0543,BEAR_MARKET
2022-06-24,0.049804,6631148.00,-2588821.00,0.65,36.55,4.5083,-0.5869,0.1608,BEAR_MARKET
2022-06-27,-0.022214,1171206.00,-3760027.00,0.62,33.14,-0.2443,-0.6241,0.0564,BEAR_MARKET
2022-06-28,-0.040617,1044774.00,-4804801.00,0.60,31.32,-0.3634,-0.6456,0.0042,BEAR_MARKET
2022-06-29,-0.050555,1375255.00,-6180056.00,0.60,29.62,-0.0698,-0.6664,0.0170,BEAR_MARKET
2022-06-30,-0.021948,1600121.00,-4579935.00,0.51,30.06,0.1133,-0.6642,0.0788,BEAR_MARKET
2022-07-01,-0.039423,1254713.00,-5834648.00,0.47,28.47,-0.1949,-0.6828,0.0191,BEAR_MARKET
2022-07-05,0.015331,1102430.00,-4732218.00,0.44,33.18,-0.3344,-0.6597,0.1198,BEAR_MARKET
2022-07-06,0.003280,785659.00,-5517877.00,0.43,32.88,-0.6179,-0.6627,0.1100,BEAR_MARKET
2022-07-07,0.020020,799833.00,-4718044.00,0.41,35.56,-0.6144,-0.6501,0.1516,BEAR_MARKET
2022-07-08,0.030803,1029380.00,-3688664.00,0.40,38.65,-0.4188,-0.6352,0.2005,BEAR_MARKET
2022-07-11,-0.006454,596442.00,-4285106.00,0.41,36.66,-0.8081,-0.6508,0.1491,BEAR_MARKET
