Date,Close,Volume,OBV,ATR_14,RSI_14,MACD_Hist,Label
2017-09-19,3910.04,902.33,4.73,458.96,46.05,-39.65,UNKNOWN
2017-09-20,3900.00,720.94,-716.20,451.70,45.86,-26.50,UNKNOWN
2017-09-21,3609.99,1001.65,-1717.86,451.18,40.68,-34.40,UNKNOWN
2017-09-22,3595.87,838.97,-2556.82,418.17,40.44,-37.39,UNKNOWN
2017-09-23,3780.00,752.79,-1804.03,418.01,44.99,-24.41,UNKNOWN
2017-09-24,3660.02,661.64,-2465.67,395.53,42.70,-21.45,UNKNOWN
2017-09-25,3920.75,727.99,-1737.67,402.00,48.80,-0.58,UNKNOWN
2017-09-26,3882.35,526.73,-2264.40,385.80,47.99,11.33,UNKNOWN
2017-09-27,4193.00,628.17,-1636.23,383.78,54.56,39.24,UNKNOWN
2017-09-28,4174.50,849.79,-2486.02,338.86,54.12,54.64,UNKNOWN
2017-09-29,4174.69,1602.31,-883.71,286.92,54.12,62.45,UNKNOWN
2017-09-30,4378.51,720.35,-163.35,269.96,58.39,77.94,UNKNOWN
2017-10-01,4378.48,726.96,-890.32,264.06,58.39,84.26,UNKNOWN
2017-10-02,4380.00,655.76,-234.56,247.51,58.43,84.39,UNKNOWN
2017-10-03,4310.00,1082.32,-1316.88,249.48,56.18,75.89,UNKNOWN
2017-10-04,4208.59,868.47,-2185.35,249.83,53.01,60.25,UNKNOWN
2017-10-05,4292.43,779.14,-1406.21,242.83,55.26,52.63,BULL_MARKET
2017-10-06,4369.00,506.53,-899.68,234.30,57.27,49.85,BULL_MARKET
2017-10-07,4423.00,297.60,-602.08,226.63,58.68,48.71,BULL_MARKET
2017-10-08,4640.00,518.46,-83.62,231.47,63.85,58.94,BULL_MARKET
2017-10-09,4786.95,646.46,562.84,232.46,66.87,71.16,BULL_MARKET
2017-10-10,4783.06,1043.22,-480.38,243.35,66.71,74.19,BULL_MARKET
2017-10-11,4821.43,753.43,273.05,228.67,67.53,73.83,BULL_MARKET
2017-10-12,5430.00,1276.70,1549.75,259.44,77.15,107.60,BULL_MARKET
2017-10-13,5649.98,1879.83,3429.58,270.47,79.51,135.93,BULL_MARKET
2017-10-14,5869.99,970.76,4400.34,276.05,81.56,159.06,BULL_MARKET
2017-10-15,5709.99,1343.52,3056.81,301.47,75.63,153.11,BULL_MARKET
2017-10-16,5760.02,1529.00,4585.81,301.62,76.21,142.30,BULL_MARKET
2017-10-17,5595.00,1429.87,3155.94,300.17,70.24,114.96,BULL_MARKET
2017-10-18,5512.06,2317.80,838.14,323.54,67.39,83.66,BULL_MARKET
2017-10-19,5683.90,1881.72,2719.86,321.73,70.10,67.60,BULL_MARKET
2017-10-20,6010.01,1972.98,4692.84,349.23,74.44,71.62,BULL_MARKET
2017-10-21,6024.97,1664.31,6357.14,360.23,74.63,68.00,BULL_MARKET
2017-10-22,5950.02,1362.09,4995.05,367.73,71.86,53.88,BULL_MARKET
2017-10-23,5915.93,1812.56,3182.49,376.23,70.58,36.41,BULL_MARKET
2017-10-24,5477.03,2580.42,602.08,390.20,56.61,-8.16,BULL_MARKET
2017-10-25,5689.99,2282.81,2884.89,407.80,60.67,-25.77,BULL_MARKET
2017-10-26,5861.77,1972.97,4857.85,383.53,63.64,-28.12,BULL_MARKET
2017-10-27,5768.83,1403.71,3454.15,373.84,60.96,-37.61,BULL_MARKET
2017-10-28,5719.64,1276.75,2177.39,366.70,59.53,-48.21,BULL_MARKET
2017-10-29,6169.98,1804.78,3982.17,368.10,67.12,-26.95,BULL_MARKET
2017-10-30,6120.50,1473.69,2508.49,369.17,65.66,-18.68,BULL_MARKET
2017-10-31,6463.00,1511.77,4020.26,378.57,70.45,6.08,BULL_MARKET
2017-11-01,6753.98,1675.62,5695.88,369.90,73.79,36.57,BULL_MARKET
2017-11-02,7019.98,2503.61,8199.49,398.12,76.41,67.38,BULL_MARKET
2017-11-03,7115.04,1891.50,10090.98,391.93,77.29,85.71,BULL_MARKET
2017-11-04,7357.09,1399.19,11490.18,410.44,79.38,104.44,BULL_MARKET
2017-11-05,7345.01,1207.83,10282.34,408.38,78.99,105.99,BULL_MARKET
2017-11-06,6960.12,1763.02,8519.32,410.96,67.55,72.65,BULL_MARKET
2017-11-07,7064.04,1440.26,9959.58,398.28,68.86,50.22,BULL_MARKET
2017-11-08,7303.00,2822.30,12781.88,448.35,71.69,44.31,BULL_MARKET
2017-11-09,7079.99,1913.40,10868.48,454.57,65.68,19.48,BULL_MARKET
2017-11-10,6506.98,3254.70,7613.78,504.15,53.32,-38.28,BULL_MARKET
2017-11-11,6245.05,2754.16,4859.62,538.29,48.80,-93.73,BULL_MARKET
2017-11-12,5811.03,4968.48,-108.86,592.80,42.38,-155.58,BULL_MARKET
2017-11-13,6465.99,2621.24,2512.38,648.43,52.53,-148.35,BULL_MARKET
2017-11-14,6574.99,1254.29,3766.68,646.71,53.98,-132.71,BULL_MARKET
2017-11-15,7240.06,1779.61,5546.28,667.16,61.68,-76.83,BULL_MARKET
2017-11-16,7864.50,2331.96,7878.24,684.95,67.22,-1.06,BULL_MARKET
2017-11-17,7699.19,3982.40,3895.84,693.14,64.56,32.79,BULL_MARKET
